Blog	kids	catchy	therefore	absolute	travel	wrong	fit	songwriter	service	needed	feeling	mouth	singer	saying	rich	lots	nature	dave	split	golden	shadow	crowd	begin	bottom	role	roll	minute	working	originally	following	pulled	didn	seriously	internet	emotion	turned	west	wants	formed	photos	former	ascii	pull	small	past	hasn	full	november	experience	followed	door	company	learn	huge	scott	self	singles	sometimes	parents	couple	chorus	influence	train	baby	process	realized	perfect	realize	books	length	scene	festival	false	tonight	jam	tape	stuff	become	places	problem	compared	lately	details	worth	era	production	safe	l	daniel	electronic	john	dogs	runs	tone	apparently	hand	musical	thanks	born	concept	turns	guy	extra	kurt	ended	non	drop	yeah	tomorrow	caught	vocals	america	death	verse	gonna	exciting	start	stars	poor	month	streets	learned	tracks	inspired	put	almost	evening	heavy	american	grey	feels	culture	close	pictures	missing	forgotten	empty	lived	lives	match	grand	obviously	popular	lips	similar	e	wave	telling	michael	ryan	camera	meet	including	special	cause	times	tunes	tend	key	hits	tuesday	party	http	riff	lost	lose	school	north	star	stay	sorry	likely	men	met	fantastic	under	room	movies	amazing	third	personal	begins	ears	tiny	seven	yes	yet	save	deal	somehow	dear	magazine	journey	weekend	happening	father	round	filled	box	boy	bob	teenage	visit	making	fuck	interesting	speaking	performance	morning	miles	wonder	label	enough	across	august	tour	wake	adams	images	each	u	sitting	hour	remain	needs	acts	coming	beginning	valentine	point	century	cut	absolutely	epic	planet	entire	talent	later	closing	vibe	nobody	success	hair	happens	blue	leaves	excellent	drummer	alex	saturday	laid	bridge	mother	despite	hopefully	however	news	n	gave	stuck	setting	picture	clouds	impressive	level	posts	goes	figure	turn	surf	sure	jazz	guitar	quiet	featuring	direction	spirit	case	mood	moon	taste	list	sun	version	flat	rather	short	weight	hill	friday	story	store	king	kind	electric	traditional	wrote	solo	sold	sweet	kick	questions	range	andy	nick	nice	meaning	include	melodies	folk	leaving	holiday	edit	g	why	fear	feat	local	available	bought	opening	joy	job	joe	april	perhaps	difficult	press	rare	promise	volume	incredible	yellow	straight	successful	hurt	machine	keeps	wind	wasn	listen	released	copy	theme	unfortunately	fair	score	child	possible	possibly	unique	steps	happy	exist	team	current	bloody	winter	spot	date	future	twin	breath	industry	act	image	gone	andrew	original	section	hours	pick	action	keeping	beautiful	states	sense	information	week	missed	imagine	w	number	heads	relationship	grace	video	play	plan	cover	somewhat	set	sex	whole	community	synth	fire	funk	recent	makes	anything	link	line	sides	hello	results	sent	bird	led	doubt	animal	kiss	david	hope	edition	drum	co	cd	colour	moments	stage	sister	naturally	official	francisco	near	green	somewhere	brief	dj	de	dr	com	voice	rain	kept	fight	minor	physical	together	p	appears	change	december	means	remember	cold	half	hall	el	en	ep	space	shows	impossible	size	sheer	friend	mostly	ground	concert	comes	media	finish	touch	real	read	lady	recorded	died	trying	describe	moved	strong	ahead	musically	finally	fi	food	fully	neil	robert	since	bass	ask	jamie	towards	pretty	during	won	genre	liked	wait	else	anymore	used	march	run	seeing	himself
The World's First Internet Baby	2	2	2	2	0	1	3	12	0	2	2	0	13	5	2	0	0	0	1	1	0	0	3	0	2	23	3	3	3	2	1	4	0	0	1	7	2	0	3	1	6	0	4	4	4	1	10	1	0	4	1	1	0	3	1	2	9	2	1	2	6	3	2	2	1	0	8	0	0	2	3	0	1	1	2	5	2	6	1	0	2	0	0	2	11	8	1	2	0	6	10	0	5	2	5	4	11	1	2	2	5	7	0	1	3	0	2	0	0	1	1	17	11	0	7	0	1	2	2	2	1	0	2	1	9	16	0	6	25	0	5	2	7	0	2	3	0	2	1	0	3	1	5	0	3	4	2	0	2	0	0	0	5	0	1	10	1	1	2	4	0	0	0	0	4	0	3	2	5	1	1	3	4	0	3	7	0	1	0	7	3	2	1	0	2	2	14	2	4	0	0	2	0	0	0	3	1	2	0	2	15	1	0	8	0	1	3	5	0	1	2	4	9	3	2	7	1	0	1	5	4	0	3	3	0	6	7	14	0	13	4	3	6	1	4	0	2	22	6	1	2	7	4	0	5	0	2	2	0	2	0	0	1	2	0	6	3	6	2	0	2	1	0	2	3	0	3	3	3	0	3	7	10	2	1	3	1	2	0	0	0	3	6	10	1	10	9	0	1	0	2	0	0	9	17	6	3	9	6	6	2	2	6	0	0	0	0	0	6	24	2	0	0	0	4	2	1	0	1	0	8	0	2	3	0	13	1	1	0	1	0	0	0	5	9	0	4	1	4	7	1	18	0	1	1	4	0	3	0	2	3	0	1	1	1	2	0	0	1	2	6	0	0	1	3	2	2	0	8	3	0	0	1	0	0	8	8	0	1	0	5	6	6	1	2	1	1	2	0	4	0	6	4	10	3	1	2	6	0	7	10	1	4	2	0	0	0	0	3	6	0	1	7	1	0	1	1	0	0	2	7	3	0	0	1	8	0	0	4	1	5	1	0	9	7	0	0	0	0	8	1	1	1	2	3	1	6	11	1	1	1	2	3	0	1	0	0	3	1	0	1	8	2	0	3	8	0	0	13	3	0	1	0	11	2	4	1	4	0	4	0	3	8	3	1	0	5	4	5	1	1	0	0	5	2	1	2	4	0	6
Morgan's Blog	6	0	0	0	2	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	7	0	0	1	1	3	2	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	6	0	4	1	3	1	3	0	2	0	0	5	0	0	3	1	0	0	1	1	0	1	5	2	0	0	0	2	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	3	0	1	5	1	6	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	1	0	0	3	2	2	2	0	0	1	1	1	0	0	0	0	2	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	2	0	0	6	0	0	0	0	3	1	1	0	0	0	3	0	0	0	1	0	3	1	0	0	0	0	0	5	3	2	0	1	0	0	1	3	0	1	0	2	0	0	0	0	1	2	2	1	1	0	1	1	2	0	6	1	0	4	1	0	0	15	0	1	1	0	0	2	0	0	1	6	0	0	0	1	1	0	2	1	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	1	1	4	0	2	0	2	0	1	0	0	2	1	1	0	2	2	2	0	4	1	0	0	1	4	2	0	2	1	0	1	1	0	2	0	1	0	0	0	1	0	0	0	1	0	3	0	0	7	0	0	3	0	0	0	3	1	0	0	5	0	0	0	2	0	1	0	0	0	2	1	1	0	0	2	0	0	0	0	1	0	2	1	0	1	0	1	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	1	1	0	1	2	1	0	0	1	1	0	0	2	5	3	0	0	0	0	0	2	0	0	1	0	0	0	0	0	4	1	0	0	2	2	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	5	2	3	0	1	3	0	0	1	0	2	1	0	5	0	0	0	0	1	1	0	0	1	0	1	1	0	3	1	1	2	2	0	0	0	0	1	0	0	2	2	0	1	0	2	0	6	0	3	0	0	0	2	0	1	0	0	0	0	2	0	0	0	2	0	2
Tremble Under Boom Lights	3	0	0	3	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	2	0	0	0	0	0	1	1	0	2	0	0	5	0	2	0	3	1	0	0	1	0	0	0	2	5	0	5	1	0	0	1	0	0	1	1	1	3	2	0	1	0	2	0	2	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	2	1	0	1	0	1	0	0	0	0	2	0	3	0	1	0	0	4	1	1	0	1	0	0	3	1	1	0	2	1	9	0	1	1	0	4	2	0	0	3	2	0	3	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	2	0	5	1	0	0	1	0	6	6	0	7	2	1	0	1	0	0	1	0	1	0	0	1	0	0	2	3	1	0	1	0	0	3	0	0	1	1	4	1	0	1	0	0	0	0	0	3	1	1	1	1	2	0	0	0	0	1	10	7	0	0	4	0	0	0	3	1	2	0	1	0	0	2	0	0	0	0	2	3	0	0	1	0	6	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	1	0	1	0	4	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	8	3	2	0	0	0	0	0	0	1	2	2	1	2	0	2	0	1	0	0	1	0	0	2	3	0	1	0	0	0	0	0	1	2	0	1	3	2	4	2	1	0	3	1	0	3	3	3	1	1	0	0	1	0	0	0	1	0	0	4	4	3	1	0	1	0	2	0	0	1	0	2	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	1	0	3	1	0	1	2	0	0	1	2	1	0	3	1	2	0	0	0	0	5	0	2	0	4	2	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	3	0	1	1	0	0	0	0	0	0	0	0	1	0	0	7	0	1	1	0	0	0	1	0	0	1	1	0	4	0	7	0	0	0	3	2	3	1	1	1	1	0	0	0	1	1	0	1	0	0	0	2	0	5	0	0	0	0	1	2	0	0	0	0	0	3	0	0	0	1	2	1	1	0	1	3	2	0	1	1	1	0	0
Doginasweater's Music Reviews (And Other Horseshit)	2	1	0	0	0	1	0	0	0	1	2	3	3	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	1	0	0	0	0	2	0	5	0	3	0	2	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	2	1	1	0	0	1	1	1	0	0	0	1	0	2	0	0	0	0	0	0	3	0	2	1	3	0	0	3	0	0	0	1	0	0	0	1	2	0	0	6	0	1	6	0	2	3	0	3	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	1	0	1	0	0	1	2	0	0	3	0	0	3	1	0	0	0	0	2	1	1	1	0	0	1	1	0	0	2	2	0	1	6	1	2	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	3	0	0	2	2	0	2	0	0	3	0	1	0	5	1	0	2	0	2	0	1	0	0	0	0	0	0	4	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	8	0	2	2	0	3	0	4	0	0	0	1	0	4	0	1	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	1	2	0	2	0	2	2	0	0	1	0	0	1	0	0	0	0	1	0	2	0	0	0	1	12	4	2	2	0	0	0	0	3	1	0	0	3	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	4	0	0	0	2	0	0	1	1	0	0	7	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	4	3	0	0	0	0	2	0	1	1	0	0	2	0	3	0	0	0	3	0	1	1	0	0	0	0	0	1	1	1	0	0	5	1	0	5	0	2	0	0	5	1	4	0	0	0	0	0	0	2	0	0	0	0	9	1	0	0	2	0	0	1	2	0	0	3	3
La espiral de Joseph K	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0
IoTube     :)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Eli Jace | The Mind Is A Terrible Thing To Paste	0	0	0	0	0	1	0	1	0	2	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	3	3	3	0	1	1	2	0	3	2	0	7	0	1	0	0	0	0	1	5	2	12	1	2	1	0	2	0	1	0	2	2	1	0	0	8	0	0	0	0	0	5	0	0	3	0	0	0	0	2	0	0	2	1	0	0	0	0	0	2	2	1	0	0	1	0	0	0	6	1	0	2	0	1	0	2	0	2	0	2	0	1	1	0	2	6	3	9	3	1	1	1	1	0	0	2	1	10	0	4	2	0	5	3	1	4	1	1	0	0	1	1	2	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	3	1	3	0	0	8	5	0	2	12	2	3	1	3	0	9	0	1	1	1	0	0	3	3	0	0	4	0	3	0	1	5	0	1	1	0	2	0	0	0	0	0	0	0	2	4	0	0	2	0	3	3	0	0	1	3	1	1	2	1	2	1	3	4	0	0	4	1	0	0	1	0	1	1	0	0	4	0	6	0	0	0	1	0	7	0	0	0	0	3	0	2	2	0	1	4	2	0	0	1	0	0	1	1	0	2	3	1	2	0	0	2	0	1	0	3	1	2	0	17	1	0	1	0	1	2	4	2	1	6	10	1	0	2	0	0	0	0	0	3	1	2	1	0	3	0	3	0	0	2	0	0	1	0	0	0	1	0	0	0	0	2	1	0	0	4	0	6	0	0	0	1	0	2	0	1	3	0	0	0	5	0	0	0	1	3	2	0	5	0	0	1	1	1	0	0	0	0	0	0	0	1	2	0	3	0	3	0	1	2	0	0	0	3	0	3	0	0	1	0	0	1	1	1	0	2	0	0	2	2	0	1	0	3	2	1	1	1	4	0	1	0	0	3	2	5	4	4	1	5	1	0	0	0	0	0	0	0	2	3	2	0	9	0	1	0	0	1	1	0	2	0	3	0	4	0	0	0	0	1	4	1	2	0	0	2	4	0	0	0	1	1	5	3	4	0	2	0	2	3	4	1	0	0	1	2	2	0	3	0	1	0	2	1	0	0	0	2	0	1	0	0	0	1	1	0	1	4	0	9	6	0	0	0	1	6	1	1	0	1	0	1	1	0	1	0	3
THE HUB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	1	1	0	3	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	2	0	0	0	1	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	2	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	0	3	0	0	0	0	1	0	1	0	1	0	0	0	0	8	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	3	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	2	0	0	3	4	0	1	1	1	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	5	1	0	0
The Jeopardy of Contentment	4	1	1	1	0	12	3	4	0	2	4	0	2	1	1	1	2	1	2	1	0	1	0	1	2	4	1	5	2	2	1	13	3	2	2	0	0	0	0	0	2	0	1	1	7	1	10	1	5	1	0	0	0	6	7	4	0	3	1	11	6	4	0	1	1	2	2	0	0	2	2	5	0	2	2	2	13	1	0	2	0	0	0	7	1	5	0	1	0	0	3	1	1	1	3	3	6	4	4	0	1	8	1	4	0	1	3	2	2	1	14	1	9	3	3	0	6	2	1	2	2	1	17	0	18	6	0	5	2	0	1	1	1	2	3	2	0	0	1	1	0	0	2	0	2	2	0	0	0	4	0	1	0	0	0	7	1	0	0	0	0	2	0	6	2	4	6	0	3	2	2	2	6	0	6	8	3	1	8	4	3	1	0	1	0	3	3	2	1	2	0	0	0	3	1	4	0	3	0	1	2	0	1	1	7	10	1	0	3	1	1	4	6	1	0	3	0	3	1	5	0	1	1	0	3	0	5	2	2	8	0	3	4	0	2	3	1	3	1	5	0	0	0	1	4	1	1	3	2	9	0	3	0	3	2	6	3	0	2	0	0	2	0	0	1	9	3	1	3	1	11	0	22	0	1	0	1	4	1	1	1	6	2	2	1	1	1	1	4	6	4	0	3	13	4	1	3	8	1	3	1	0	1	0	2	12	0	1	2	0	0	0	2	0	9	0	0	7	0	0	8	0	4	0	0	2	3	3	0	0	3	2	0	1	1	0	1	0	2	4	18	7	2	4	1	1	0	1	1	0	0	0	1	4	1	0	2	0	0	0	7	1	0	0	0	0	4	0	2	0	3	2	2	1	2	0	8	0	10	0	2	0	2	1	1	1	16	5	1	4	0	1	0	6	0	2	6	0	3	10	10	1	3	0	0	0	3	1	0	3	1	1	8	6	0	1	0	3	1	1	2	0	0	1	0	1	3	2	1	1	0	0	2	4	1	0	2	0	0	7	0	1	6	0	3	6	0	2	1	0	0	1	1	16	1	2	0	6	3	0	1	11	0	1	1	5	8	1	4	0	5	1	0	5	0	0	7	1	0	1	0	2	15	2	2	1	2	16	4	3	2	6	3	1	1	3	1	6	2	1
Boggle Me Thursday	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	26	0	0	0	25	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
Mystic Chords Of Memory	0	0	0	0	0	3	0	0	1	0	3	0	0	0	0	0	0	2	0	3	1	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	6	5	0	0	1	2	2	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	7	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	1	0	6	0	0	1	0	1	2	0	0	0	2	1	0	0	3	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	2	5	1	0	0	1	1	0	0	0	2	0	2	3	1	3	0	0	0	1	0	0	5	0	1	0	0	0	0	1	1	0	0	3	0	0	2	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	3	0	0	0	1	2	0	1	2	3	0	0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0	0	0	0	3	1	0	0	0	1	3	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	4	0	1	0	0	3	0	2	0	1	0	2	2	0	1	2	1	1	0	0	0	0	3	3	0	0	0	0	3	0	0	2	0	0	0	0	1	4	1	0	0	3	0	0	1	0	0	0	0	0	0	0	4	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	3	1	0	0	0	0	3	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	1	0	0	3	2	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	3	3	2	0	3	0	4	0	0	0	0	26	1	0	0	4	1	5	0	0	0	3	0	0	0	6	0	0	0	0	8	1	0	3	0	0	3	4	1	2	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	1	3	0	1	0	0	1	0	0	1	0	0	0	0	0	0	9	0	2	0	0	0	0	3	0	1	0	0	3	0	0	2	0	5	0	0
The Stearns Family	12	0	0	0	0	4	0	0	0	2	1	2	0	5	0	1	0	0	0	0	0	0	2	1	0	0	2	8	0	1	4	12	0	0	0	6	0	2	0	1	0	0	1	2	3	1	1	1	2	0	0	1	1	2	0	0	0	3	5	4	0	0	0	10	1	2	1	2	0	0	1	0	0	0	0	0	2	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	1	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	3	7	0	2	2	0	0	0	0	1	1	2	1	0	0	1	0	7	27	1	0	0	0	3	0	0	2	0	1	0	0	0	4	0	0	3	0	0	3	0	7	0	0	0	0	2	0	0	0	3	1	20	0	0	6	1	0	0	1	0	0	4	0	0	1	0	0	0	0	1	7	4	1	2	0	0	0	0	3	3	3	1	1	1	0	0	0	1	4	0	0	0	0	6	5	0	0	2	1	1	0	1	0	0	3	0	2	0	0	3	0	4	1	0	2	0	1	3	0	0	2	0	3	0	0	0	2	2	0	1	0	1	0	0	3	0	0	1	0	4	0	0	0	0	2	0	1	0	0	0	1	2	3	2	0	12	0	0	1	0	0	0	2	1	1	0	2	6	0	0	0	1	0	0	1	1	2	0	7	0	0	0	0	0	1	0	0	0	0	0	10	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	11	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	8	0	0	0	0	5	0	0	3	1	1	0	2	2	0	0	0	0	0	1	2	0	0	0	0	1	0	1	0	0	3	7	3	0	2	3	0	0	0	13	1	0	0	2	1	0	2	1	2	2	0	0	1	0	2	0	0	0	0	0	0	3	0	2	0	2	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	1	4	1	0	0	0	0	0	0	0	1	0	0	0	3	4	0	1	0	2	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	5	0	1	0	1	0	0	1	1	1	1	0	0	10	0	0	0	2	0	12	0	6	0	0	0	10	0	1	0	3	21	2	0	0	1	6	4	0	2	0	0	3	0
